"ID","population.code","area","weight","Na23_NIES","Mg24_NIES","Cu63_NIES","Zn64_NIES","Rb85_612","Sr88_NIES","Ba138_NIES","Pb208_NIES"
3301,"NA","edge","27.945",7.5090557749078,"2.79850010402428",-0.49429632181478,-0.385662480811985,"-2.02495335639577","7.95666598826812","0.431782416425538",-5.62682143352007
3302,"NA","edge","27.576",7.86729705285061,"2.70001802940495",-1.13943428318836,-1.96611285637283,"-2.41911890925","7.48148245979076","0.300104592450338",-6.81244509917781
3304,"NA","edge","na",7.88200166237337,"3.10324048126928",-0.616186139423817,-0.287682072451781,"-1.9241486572738","8.195112892242","0.908258560176891",-4.01738352108597
3310,"NA","edge","26.282",7.74809757686046,"2.79850010402428",-0.798507696217772,-0.083381608939051,"-2.3859667019331","7.70873840878448","-0.188742124596877",-5.20300718674371
3322,"NA","edge","26.282",7.81940324990161,"2.79910893204918",-0.891598119283784,-0.689155159290408,"-2.45340798272863","7.52317332349657","0.22314355131421",-6.26590139280974
4187,"A","edge","na",7.68800633225385,"2.82494395257371",-1.46967597005894,-4.3428059215206,"-2.15416508787577","7.7516860485044","0.756121979721334",-4.62537289330561
4188,"A","edge","na",7.58143417634668,"2.64971462408925",-1.51412773262978,-4.60517018598809,"-2.25379492882461","na","1.87487437593856",-5.65499231048677
4189,"A","edge","na",7.84183484712987,"2.84490938381941",-1.38629436111989,-3.61191841297781,"-1.95899538860397","8.49823664609174","1.48613969608961",-4.90627527877201
4190,"A","edge","na",7.89802111704086,"2.90251989183181",-0.755022584278033,-3.35240721749272,"-2.21640739675299","8.03178187097871","0.385262400790645",-4.19970507787993
4191,"A","edge","na",7.60847868731271,"2.66374994220563",-1.51412773262978,-4.3428059215206,"-2.39689577246529","8.28965248677758","2.85186190313429",-5.5727542122498
4192,"A","edge","na",7.50697632150992,"2.70404217970467",-1.38629436111989,-4.42284862919414,"-2.22562405185792","8.07870373298566","1.09192330051731",-5.27851473925186
4194,"A","edge","na",7.69445199942006,"3.09104245335832",-1.59454929994035,-3.27016911925575,"-2.31263542884755","7.96017353062459","0.900161349944271",-4.85363154528659
4195,"A","edge","na",7.61810366686186,"2.74019465442878",-1.56064774826467,-4.01738352108597,"-2.2730262907525","7.59623659128865","0.0198026272961797",-3.35240721749272
4196,"A","edge","na",7.68939399056307,"2.8384934971275",-1.6094379124341,-4.01738352108597,"-2.3434070875143","7.76571750095617","0.378436435720245",-4.19970507787993
4198,"A","edge","na",7.61007030611644,"2.83144707924613",-1.56064774826467,-3.57555076880693,"-2.3538783873816","7.59154885061497","0.371563556432483",-5.25909665339476
4199,"A","edge","na",7.66763544607819,"2.75302356674494",-1.51412773262978,-4.26869794936688,"-2.3434070875143","7.81238225292498","0.0953101798043249",-4.54690127786412
4200,"A","edge","na",7.74336076346498,"2.8142103969306",-1.56064774826467,-4.19970507787993,"-2.39689577246529","7.61210942624017","0.231111720963387",-5.9522438339547
4201,"A","edge","na",7.67987536441137,"2.83790818836042",-1.6094379124341,-4.13516655674236,"-2.43041846450393","7.71108781690889","1.02245092770255",-5.40367788220586
4203,"A","edge","na",7.66023212561808,"2.78501124223834",-1.6094379124341,-4.19970507787993,"-2.43041846450393","7.81712612356712","0.0198026272961797",-4.84089251950916
4204,"A","edge","na",7.55095562668927,"2.7948393311746",-1.63475572041839,-4.3428059215206,"-2.47693848013882","8.03325614133591","1.36353737399727",-5.7138328105097
