Code,Long,Lat,MDS1,MDS2,jCartx,jCarty
GSA7_23,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-995.705955940284,-487.658626196849
GSA7_24,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-988.20953677202,-490.775900798234
GSA7_25,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-985.16777131556,-489.846815847921
GSA7_26,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-989.528840094045,-486.767698567676
GSA7_27,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-991.695748984613,-489.444503227564
GSA7_28,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-998.376967266001,-489.90745690571
GSA7_29,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-995.956869028867,-488.271251372564
GSA7_30,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-997.032602391936,-488.617553045916
GSA7_31,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.887960611828,-486.568040123152
GSA7_32,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.409639262021,-486.893122877869
GSA7_33,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-984.670177054949,-489.01246117683
GSA7_34,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-997.038472657822,-486.485516349169
GSA7_35,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-987.895506001994,-488.217563416379
GSA7_36,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-983.892067114808,-488.473554094079
GSA7_37,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-982.817347653009,-487.930326915848
GSA7_38,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-994.829466791436,-489.643064720127
GSA7_39,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-989.999297335357,-487.873768654036
GSA7_40,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-985.053384447642,-488.650530412364
GSA7_41,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-998.109021898158,-487.173828264269
GSA7_42,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.597291992031,-489.536506462413
GSA7_43,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-992.851625175387,-487.163091151359
GSA7_44,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-981.977165891961,-487.154978406745
GSA7_45,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-985.452189525575,-490.943846563565
GSA7_46,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-980.39191185011,-488.518633944112
